abusive_word,replacement_word
asshole,nice
fuck you,******
bastard, 
bitch,good
cunt,*****
dickhead,*****
dumbass,*****
idiot,smarter
loser,*****
stupid,*****
shut up,*****
whore,*****
slut,*****
faggot,*****
jerk,*****
prick,*****
douchebag,*****
motherfucker,*****
cocksucker,*****
son of a bitch,*****
freak,crazy
pig,*****
psycho,crazy
retard,*****
fatass,*****
ugly,*****
scumbag,*****
asswipe,*****
twat,*****
twit,*****
nutcase,*****
scumbucket,*****
lowlife,*****
bitchass,*****
shithead,*****
dipshit,*****
ball-less,*****
worthless,*****
liar,*****
cheater,*****
tramp,*****
gimp,*****
trash,*****
dirtbag,*****
fool,*****
moron,*****
creep,*****
snake,*****
backstabber,*****
slimeball,*****
terrorist,*****
con artist,*****
whiny,*****
crybaby,*****
drama queen,*****
bum,*****
jerk-off,*****
kike,*****
spic,*****
nigger,*****
chink,*****
gook,*****
paki,*****
schizo,*****
nuts,*****
bimbo,*****
hooker,*****
cuntface,*****
asshat,*****
pussy,*****
cum dumpster,*****
fist-fucker,*****
skank,*****
numbnuts,*****
waste of space,*****
scuzz,*****
dildo,*****
butthole,*****
foolish,*****
weakling,*****
lazy,*****
coward,*****
pathetic,*****
hypocrite,*****
failure,*****
broke,*****
clown,*****
shameless,*****
blowhard,*****
spineless,*****
imbecile,*****
retarded,*****
lame,*****
scaredy-cat,*****
